 ,Mean1,Mean2,Mean3,Mean4
1,68,161,144,76
2,93,144,110,59
3,93,144,110,76
4,82,148,98,65
5,85,153,119,51
6,93,153,93,76
7,85,144,119,59
8,76,144,136,76
9,85,144,110,76
10,76,144,110,76
11,85,144,119,85
12,93,153,110,76
13,93,144,110,68
14,90,131,106,74
15,85,161,110,76
16,79,158,105,79
17,85,153,102,93
18,85,144,110,76
19,87,167,123,79
20,76,161,127,76
21,114,149,105,87
22,85,119,93,93
23,93,127,136,68
24,87,149,96,87
25,85,153,93,76
26,82,172,131,74
27,93,178,119,76
28,87,140,114,87
29,93,127,110,85
30,85,161,110,76
31,96,158,123,87
32,93,153,85,76
33,102,161,110,102
34,93,170,127,59
35,76,127,127,85
36,76,136,110,76
37,68,161,119,68
38,96,140,114,79
39,76,153,119,93
40,76,127,127,76
41,76,144,102,76
42,93,144,127,76
43,76,119,102,85
44,85,127,119,68
45,68,136,93,85
46,76,144,93,85
47,79,149,105,87
48,87,140,114,61
49,114,167,114,87
50,110,136,119,93
51,96,149,123,52
52,79,140,105,61
53,79,149,114,79
54,79,167,123,96
55,96,140,123,87
56,96,149,105,96
57,96,158,114,70
58,96,167,114,87
59,76,153,102,76
60,119,144,110,76
61,87,131,123,79
62,87,158,123,87
63,87,167,96,79
64,79,149,114,87
65,85,136,110,76
66,96,167,96,96
67,70,158,96,70
68,79,167,96,87
69,96,158,105,79
70,79,158,114,70
71,87,140,123,61
72,91,173,100,81
73,81,145,118,63
74,79,167,123,79
75,79,167,123,79
76,87,149,96,79
77,87,123,114,70
78,93,153,102,85
79,85,144,127,68
80,70,140,96,70
81,93,153,136,68
82,79,158,123,70
83,76,170,119,76
84,93,153,119,76
85,79,149,123,79
86,96,149,114,70
87,87,158,123,79
88,87,140,114,70
89,79,149,105,87
90,87,158,87,70
91,79,149,123,87
92,70,123,105,87
93,79,140,114,79
94,79,149,123,79
95,96,140,114,96
96,93,161,102,68
97,93,153,102,93
98,79,131,123,70
99,96,167,123,61
100,96,167,105,105
101,79,140,140,79
102,85,161,102,76
103,81,173,127,81
104,68,136,127,68
105,87,131,114,79
106,79,167,123,79
107,87,158,105,79
108,96,131,105,87
109,85,136,110,68
110,91,145,127,91
111,85,153,119,85
112,70,149,123,96
113,70,149,123,61
114,76,144,119,76
115,79,131,149,96
116,96,149,96,79
117,79,149,114,96
118,96,167,131,87
119,79,131,114,79
120,79,140,123,70
121,81,145,100,72
122,87,158,131,87
123,79,140,114,70
124,91,163,118,63
125,79,149,96,87
126,81,163,127,72
127,87,149,96,70
128,96,167,105,79
129,87,149,114,87
130,72,173,118,54
131,105,149,105,87
132,96,158,149,87
133,87,167,123,79
134,72,154,100,81
135,70,158,123,87
136,76,161,102,76
137,87,167,114,79
138,79,167,114,79
139,96,158,105,79
140,87,158,114,79
141,85,161,110,76
142,87,140,140,79
143,87,167,114,79
144,87,158,114,70
145,70,158,114,70
146,91,154,127,72
147,79,158,114,61
148,96,158,114,70
149,70,131,105,79
150,87,158,105,79
151,79,158,114,61
152,76,144,110,76
153,70,140,105,61
154,91,145,127,91
155,96,167,123,87
156,100,109,118,81
157,93,144,127,85
158,79,158,114,79
159,72,136,109,81
160,79,175,114,96
161,96,149,96,79
162,79,123,114,87
163,70,149,114,87
164,96,131,96,87
165,81,173,118,81
166,100,127,127,81
167,91,173,127,72
168,81,154,145,63
169,91,154,127,81
170,81,127,118,72
171,87,167,114,87
172,72,136,145,81
173,87,184,114,79
174,87,149,114,79
175,81,145,118,81
176,96,140,123,79
177,81,136,127,100
178,79,149,105,87
179,118,154,145,72
180,91,163,118,81
181,109,145,145,81
182,91,163,118,63
183,91,145,100,81
184,91,173,118,91
185,105,131,105,52
186,72,154,118,63
187,100,145,100,81
188,100,154,118,91
189,79,184,114,79
190,87,158,105,70
191,70,158,123,87
192,79,167,96,79
193,79,158,114,70
194,100,173,100,91
195,100,163,127,81
196,81,154,118,81
197,79,140,114,79
198,96,149,114,79
199,81,163,118,91
200,63,100,127,72
201,100,145,100,100
202,70,140,96,87
203,72,136,127,81
204,81,154,118,72
205,100,173,100,63
206,87,167,123,61
207,81,145,118,81
208,72,136,100,81
209,81,191,118,81
210,91,145,109,91
211,91,154,118,72
212,72,154,100,91
213,96,167,114,79
214,91,136,100,72
215,79,149,123,70
216,79,149,131,87
217,72,145,127,100
218,87,131,105,79
219,87,158,123,79
220,79,158,114,79
221,63,145,118,63
222,87,140,105,87
223,91,127,145,81
224,72,163,127,91
225,72,136,118,81
226,91,154,100,81
227,79,149,105,52
228,63,136,100,81
229,81,154,118,81
230,81,154,118,81
231,79,140,105,87
232,81,154,118,81
233,81,163,118,63
234,100,173,118,72
235,91,154,136,91
236,72,163,118,72
237,79,149,114,61
238,87,140,96,79
239,100,145,109,72
240,91,154,109,72
241,81,136,109,63
242,81,145,118,72
243,81,154,118,63
244,91,191,145,81
245,100,145,118,100
246,81,163,118,91
247,63,163,127,81
248,87,149,114,79
249,72,136,118,81
250,72,118,118,81
251,81,182,118,81
252,100,163,118,72
253,96,184,105,79
254,91,154,127,81
255,81,163,100,81
256,81,136,118,91
257,81,163,118,72
258,81,163,100,72
259,109,173,109,72
260,87,123,114,52
261,81,163,118,81
262,72,173,118,81
263,81,154,100,81
264,91,163,127,100
265,72,163,127,81
266,100,127,100,81
267,100,145,109,81
268,70,158,87,70
269,109,163,109,72
270,81,127,100,72
271,100,145,118,63
272,100,145,109,81
273,87,140,131,52
274,91,127,118,81
275,81,145,118,91
276,81,145,118,81
277,100,145,118,81
278,81,136,109,72
279,100,173,127,91
280,72,136,118,63
281,100,154,118,63
282,63,145,100,54
283,81,136,109,81
284,54,173,118,81
285,72,127,118,63
286,81,154,136,63
287,109,191,100,81
288,91,154,118,63
289,91,154,91,72
290,72,127,136,72
291,109,145,100,72
292,81,136,100,72
293,100,136,118,81
294,81,154,109,81
295,91,154,118,63
296,72,163,109,54
297,72,127,100,72
298,81,154,118,54
299,91,163,118,81
300,81,136,118,72
