 ,Mean1,Mean2,Mean3,Mean4
1,88,124,90,61
2,79,122,102,63
3,73,120,93,67
4,80,119,88,67
5,72,117,98,59
6,75,120,93,65
7,73,105,96,64
8,78,115,108,67
9,80,116,82,66
10,85,123,92,67
11,80,115,93,59
12,80,138,88,64
13,86,132,91,64
14,88,110,90,50
15,77,115,90,63
16,80,119,101,61
17,76,123,105,63
18,87,120,102,62
19,76,122,95,63
20,78,123,104,65
21,82,120,91,63
22,88,115,97,69
23,78,120,95,62
24,76,109,96,63
25,82,126,86,68
26,75,122,91,63
27,85,123,97,62
28,86,119,92,67
29,79,112,92,60
30,82,117,86,67
31,85,117,102,61
32,75,119,92,60
33,81,106,95,69
34,78,130,91,67
35,71,124,109,61
36,85,115,92,69
37,86,119,100,62
38,76,120,90,71
39,86,122,93,66
40,79,119,101,60
41,81,126,104,64
42,87,119,90,55
43,82,123,90,57
44,80,123,102,61
45,73,112,93,73
46,84,105,100,59
47,78,123,104,69
48,71,113,102,64
49,79,115,88,66
50,81,123,84,60
51,82,104,97,65
52,88,115,92,63
53,81,126,90,58
54,79,122,97,64
55,88,124,96,58
56,84,129,100,66
57,90,138,112,68
58,84,123,100,65
59,90,120,105,61
60,81,116,90,68
61,77,116,87,57
62,72,116,90,63
63,76,122,104,56
64,80,122,91,63
65,79,124,92,66
66,73,110,101,63
67,77,119,100,62
68,75,117,92,69
69,79,116,101,66
70,90,120,101,55
71,79,127,98,68
72,91,123,95,60
73,84,117,101,64
74,86,113,86,61
75,81,119,98,57
76,80,113,88,65
77,79,126,90,61
78,80,126,101,57
79,77,132,102,68
80,77,113,90,63
81,79,117,96,67
82,76,109,91,62
83,85,115,90,59
84,77,112,86,66
85,81,120,101,61
86,79,116,96,59
87,84,120,109,63
88,80,117,92,67
89,80,106,96,67
90,82,132,112,58
91,77,116,93,54
92,79,119,95,61
93,75,113,93,69
94,79,112,85,67
95,81,133,102,62
96,86,116,93,67
97,82,127,97,56
98,85,120,92,62
99,93,116,92,59
100,86,116,91,64
101,78,119,95,55
102,82,123,92,67
103,81,127,87,67
104,86,110,78,64
105,86,120,96,63
106,88,110,90,67
107,75,105,97,63
108,72,115,92,62
109,78,117,93,62
110,73,117,97,62
111,71,115,97,61
112,81,108,86,62
113,86,123,88,67
114,88,130,101,69
115,76,117,98,55
116,80,124,90,63
117,77,127,88,60
118,87,116,98,62
119,81,108,98,67
120,92,123,97,70
121,75,127,98,62
122,91,124,92,61
123,90,122,95,61
124,86,130,88,65
125,85,110,91,63
126,85,120,98,63
127,82,117,100,61
128,72,115,100,69
129,85,110,104,62
130,86,115,96,57
131,82,120,105,64
132,82,108,96,61
133,81,112,100,67
134,76,106,100,63
135,81,115,92,60
136,78,123,100,62
137,77,116,88,58
138,76,100,104,60
139,82,113,101,60
140,81,112,90,57
141,81,109,95,59
142,82,112,106,64
143,86,132,97,67
144,88,119,102,67
145,77,124,91,63
146,78,117,91,66
147,73,100,97,71
148,80,124,96,69
149,96,113,95,71
150,79,117,96,67
151,78,124,95,62
152,82,124,87,62
153,82,109,85,61
154,82,106,96,62
155,84,122,86,66
156,82,123,92,62
