 ,Mean1,Mean2,Mean3,Mean4
1,176,104,140,119
2,208,104,145,130
3,182,98,150,124
4,182,104,156,135
5,202,104,150,114
6,173,81,158,122
7,192,88,166,114
8,171,93,140,124
9,182,93,145,130
10,182,93,156,124
11,161,93,140,119
12,171,93,161,114
13,156,88,166,114
14,161,98,135,109
15,192,93,150,104
16,176,104,156,124
17,176,78,140,104
18,166,98,140,109
19,182,88,166,124
20,176,93,166,124
21,176,93,140,114
22,197,98,166,124
23,182,114,135,109
24,171,88,140,98
25,198,107,137,107
26,173,102,132,117
27,192,83,156,119
28,182,93,161,124
29,182,98,166,124
30,171,104,150,124
31,183,86,142,132
32,166,88,156,135
33,192,93,156,109
34,198,96,132,112
35,178,91,137,122
36,166,98,140,114
37,187,93,156,124
38,166,88,140,114
39,197,104,156,104
40,176,83,150,124
41,182,83,182,114
42,171,78,166,130
43,166,98,140,114
44,166,93,135,130
45,197,93,140,124
46,175,90,159,116
47,182,88,156,124
48,166,88,156,135
49,197,93,140,124
50,156,104,145,124
51,192,88,150,130
52,156,88,135,124
53,175,85,143,111
54,187,98,156,119
55,170,95,148,111
56,197,93,145,114
57,182,93,150,119
58,170,85,143,111
59,182,98,145,114
60,176,104,156,135
61,187,88,145,109
62,166,88,161,135
63,182,78,156,114
64,182,93,145,124
65,176,88,150,124
66,197,88,156,114
67,166,104,145,119
68,192,93,150,119
69,171,93,156,119
70,166,93,140,114
71,182,98,135,93
72,197,98,135,119
73,166,93,150,114
74,197,104,156,124
75,161,93,150,124
76,171,78,135,114
77,180,90,138,132
78,166,93,156,124
79,164,85,136,119
80,185,106,143,116
81,177,88,148,130
82,197,110,156,115
83,182,88,135,109
84,171,78,161,114
85,187,104,156,135
86,183,96,168,122
87,156,93,140,109
88,176,93,140,119
89,182,88,145,114
90,166,98,150,114
91,182,104,140,124
92,182,88,140,124
93,166,93,135,124
94,166,93,135,124
95,182,93,135,114
96,176,93,145,114
97,182,88,140,114
98,192,93,140,135
99,182,93,156,130
100,185,106,170,127
101,150,93,135,124
102,166,93,156,124
103,171,93,135,124
104,182,98,140,114
105,187,98,166,140
106,182,93,140,114
107,170,95,143,116
108,166,98,156,140
109,197,88,140,109
110,192,83,135,124
111,182,83,114,109
112,182,88,150,135
113,185,106,143,116
114,187,98,140,135
115,176,98,145,109
116,170,95,159,116
117,182,93,140,140
118,166,83,135,124
119,187,88,145,114
120,164,90,132,132
121,175,100,159,116
122,182,93,156,140
123,197,88,145,109
124,196,95,143,116
125,171,88,156,130
126,171,109,140,135
127,166,109,140,119
128,197,93,156,119
129,187,104,145,119
130,166,109,135,124
131,161,93,140,124
132,187,98,161,109
133,171,93,150,119
134,182,93,135,114
135,182,93,150,135
136,182,109,150,130
137,182,93,161,124
138,182,93,156,114
139,171,93,140,124
140,166,98,135,109
141,166,88,140,124
142,197,104,140,114
143,182,93,140,114
144,171,93,140,124
145,182,93,150,114
146,197,88,145,114
147,182,83,130,130
148,182,93,145,124
149,182,93,171,124
150,187,104,124,124
151,171,93,140,135
152,182,88,145,119
153,176,93,135,114
154,182,93,140,114
155,202,104,156,114
156,171,93,145,109
157,187,93,156,109
158,182,98,150,124
159,197,93,150,109
160,187,93,140,124
161,182,98,140,109
162,182,93,145,124
163,176,93,140,114
164,171,88,150,114
165,166,104,166,114
166,171,98,156,119
167,182,109,140,124
168,182,104,150,124
169,197,93,150,109
170,187,93,140,109
171,187,104,140,135
172,166,104,135,109
173,218,104,135,109
174,164,90,138,116
175,182,93,140,124
176,187,104,150,114
177,188,96,153,122
178,187,88,140,93
179,182,93,161,119
180,182,104,166,119
181,156,88,156,117
182,166,93,145,119
183,176,98,145,124
184,163,81,153,127
185,161,98,145,124
186,166,104,140,104
187,197,104,156,124
188,192,109,135,135
189,176,109,135,109
190,171,93,145,124
191,187,98,135,109
192,176,88,140,114
193,178,86,153,112
194,185,97,125,120
195,171,109,156,114
196,195,95,150,110
197,195,105,135,115
198,176,102,142,107
199,192,104,156,109
200,193,102,153,122
