 ,Mean1,Mean2,Mean3,Mean4
1,137,212,149,118
2,142,216,155,104
3,149,224,166,111
4,149,216,142,96
5,131,224,160,118
6,142,224,160,96
7,142,216,155,88
8,131,216,149,96
9,142,204,149,104
10,131,204,155,104
11,149,212,155,111
12,142,232,155,96
13,137,208,137,96
14,149,208,149,96
15,142,212,155,88
16,149,198,149,104
17,149,216,166,104
18,142,216,149,104
19,142,216,149,104
20,131,224,155,104
21,149,216,166,88
22,142,208,155,96
23,142,212,160,111
24,131,224,149,111
25,149,224,155,96
26,137,232,149,104
27,137,204,142,118
28,166,204,142,111
29,149,227,149,111
30,149,216,149,96
31,142,220,149,104
32,142,212,149,104
33,142,204,142,118
34,142,198,155,96
35,137,220,155,104
36,149,216,166,104
37,155,189,155,118
38,149,216,166,118
39,149,224,149,96
40,131,227,142,96
41,131,230,155,111
42,142,208,160,96
43,172,212,155,104
44,137,224,166,104
45,149,216,166,104
46,137,220,160,111
47,137,216,166,104
48,137,224,172,104
49,131,216,142,96
50,142,220,166,104
51,142,204,142,96
52,142,216,155,104
53,142,198,142,104
54,149,208,155,104
55,137,216,155,88
56,149,224,166,96
57,142,224,160,96
58,149,204,142,104
59,142,216,160,111
60,142,216,166,118
61,149,216,155,104
62,137,216,149,96
63,149,224,149,111
64,149,227,172,104
65,142,232,155,96
66,137,224,166,96
67,142,224,166,104
68,137,216,155,104
69,149,216,155,96
70,142,208,149,96
71,142,216,160,111
72,149,224,160,104
73,137,235,160,104
74,155,224,149,111
75,137,216,178,104
76,142,204,149,104
77,149,220,149,104
78,142,212,166,104
79,149,216,155,96
80,149,216,166,104
81,137,230,166,118
82,142,224,155,111
83,125,224,160,111
84,142,216,160,104
85,131,204,155,96
86,137,227,160,96
87,131,224,155,96
88,149,216,166,111
89,149,216,155,125
90,142,212,149,104
91,142,220,149,111
92,142,224,155,104
93,149,220,155,104
94,137,208,155,104
95,155,216,160,104
96,137,227,142,104
97,142,204,149,104
98,149,220,149,104
99,155,208,137,104
100,142,204,155,104
101,155,212,166,96
102,131,198,155,118
103,137,212,149,96
104,142,216,149,96
105,142,189,172,104
106,142,227,149,104
107,149,212,172,96
108,137,216,155,104
109,142,216,149,104
110,155,212,166,111
111,131,216,166,111
112,149,216,155,88
113,131,216,160,104
114,137,216,149,104
115,142,208,160,111
116,155,224,155,111
117,149,208,149,111
118,149,198,160,104
119,137,204,172,104
120,142,208,178,104
121,137,208,155,96
122,142,216,166,118
123,142,212,178,118
124,137,216,149,104
125,155,198,172,104
126,142,208,160,104
127,142,198,155,104
128,137,216,166,88
129,137,212,166,96
130,155,208,172,104
131,137,220,172,88
132,125,208,149,96
133,131,212,142,104
134,137,216,166,96
135,137,204,155,111
136,137,198,155,96
137,131,212,155,111
138,137,230,142,96
139,149,204,142,96
140,155,204,166,96
141,137,208,149,111
142,142,208,166,88
143,149,208,155,104
144,149,198,142,104
145,142,198,149,96
146,131,212,142,104
147,137,212,160,104
148,131,216,155,96
149,137,208,155,88
150,142,204,166,104
151,137,189,149,111
152,137,193,160,118
153,131,198,142,104
154,149,212,149,88
155,149,198,131,104
156,149,189,155,104
157,142,216,149,111
158,125,193,155,111
159,142,224,149,88
160,142,198,149,111
161,149,204,155,96
162,142,204,155,88
163,137,198,166,104
164,125,198,155,104
165,137,198,149,104
166,142,189,155,104
167,149,204,142,104
168,149,198,155,88
169,137,204,166,111
170,142,208,137,88
171,131,198,155,104
172,142,198,155,104
173,137,208,166,96
174,149,208,137,104
175,149,208,149,104
176,149,204,155,104
177,125,189,142,88
178,137,198,155,118
179,142,216,160,96
180,131,184,155,96
181,142,204,160,104
182,142,198,166,111
183,149,198,160,96
184,137,204,142,118
185,149,189,137,104
186,149,212,160,104
187,137,198,142,111
188,137,193,155,111
189,137,212,155,104
190,131,189,155,104
191,142,198,166,104
192,131,208,149,104
193,137,193,166,118
194,149,204,155,118
195,137,212,160,104
196,142,193,142,96
197,142,189,160,96
198,137,208,160,118
199,149,204,160,111
200,137,198,149,118
