 ,Mean1,Mean2,Mean3,Mean4
1,102,168,127,81
2,102,183,132,76
3,91,163,122,71
4,85,170,135,70
5,91,158,132,76
6,90,175,135,70
7,91,142,127,76
8,91,163,122,71
9,91,168,137,66
10,102,158,137,71
11,96,173,127,66
12,96,173,122,71
13,91,168,127,71
14,86,158,122,76
15,96,158,137,71
16,91,168,132,71
17,86,158,132,76
18,96,163,137,76
19,96,163,117,66
20,96,168,137,76
21,90,165,110,70
22,96,168,117,66
23,91,158,122,66
24,86,168,132,66
25,91,168,127,71
26,96,168,117,81
27,91,168,132,76
28,91,163,127,66
29,96,158,137,71
30,91,168,137,66
31,96,163,117,76
32,85,165,130,65
33,96,168,132,71
34,102,158,137,61
35,85,170,135,70
36,90,175,135,70
37,95,165,130,70
38,86,147,132,71
39,91,163,132,76
40,95,165,130,70
41,91,168,127,71
42,96,183,127,66
43,90,165,125,70
44,95,165,125,75
45,105,155,115,75
46,91,168,117,81
47,95,155,130,70
48,91,168,122,76
49,96,168,137,66
50,81,168,132,76
51,96,183,127,66
52,86,158,127,71
53,96,183,137,71
54,96,163,122,71
55,91,173,142,71
56,96,163,127,76
57,102,173,127,71
58,91,158,127,71
59,85,170,125,65
60,96,158,137,76
61,91,168,127,71
62,91,168,127,66
63,85,155,130,70
64,95,155,125,80
65,93,176,132,73
66,91,158,127,66
67,86,158,132,66
68,96,168,132,76
69,96,158,127,66
70,96,178,137,66
71,100,170,125,75
72,96,173,127,71
73,86,158,112,76
74,96,158,137,66
75,91,158,132,71
