 ,Mean1,Mean2,Mean3,Mean4
1,55,43,108,55
2,61,39,104,49
3,66,52,112,64
4,61,40,100,59
5,52,38,102,66
6,66,47,109,60
7,59,50,104,58
8,61,51,109,57
9,67,44,105,70
10,66,46,101,57
11,61,45,106,60
12,68,45,109,64
13,64,43,117,59
14,54,39,101,62
15,60,47,101,61
16,64,43,98,58
17,68,48,119,61
18,66,47,106,59
19,66,46,109,60
20,58,43,101,50
21,61,52,110,55
22,66,48,110,65
23,67,44,101,56
24,68,41,108,57
25,68,53,105,58
26,64,46,101,59
27,66,46,106,56
28,65,50,109,58
29,61,43,96,64
30,63,48,112,61
31,69,47,98,62
32,68,45,106,58
33,61,50,104,56
34,68,46,106,58
35,65,46,117,61
36,71,47,109,62
37,64,47,101,65
38,67,51,93,62
39,75,47,101,60
40,65,46,101,62
41,61,47,109,59
42,65,53,106,54
43,64,47,104,51
44,66,48,109,54
45,68,47,92,61
46,71,46,102,65
47,69,48,102,56
48,68,47,109,51
49,64,45,101,55
50,67,50,105,59
51,69,42,116,63
52,72,51,104,59
53,67,41,106,56
54,71,45,104,60
55,65,40,101,56
56,63,39,104,56
57,64,43,96,61
58,66,44,102,51
59,71,41,98,53
60,63,43,110,56
61,65,43,109,57
62,66,50,101,50
63,69,50,104,61
64,65,44,100,52
65,64,46,106,53
66,64,51,92,58
