 ,Mean1,Mean2,Mean3,Mean4
1,87,137,105,57
2,85,141,92,57
3,81,137,100,53
4,81,143,102,53
5,81,132,98,60
6,83,145,96,55
7,84,125,95,56
8,82,140,95,51
9,75,139,94,49
10,75,144,97,56
11,82,133,97,56
12,90,132,96,57
13,73,140,88,56
14,92,132,107,55
15,77,130,86,63
16,85,132,98,57
17,81,130,96,60
18,73,133,103,56
19,82,138,84,54
20,82,136,97,62
21,82,131,103,58
22,71,123,101,56
23,82,131,90,49
24,71,138,99,62
25,82,133,86,60
26,84,129,90,56
27,82,146,92,51
28,77,136,97,58
29,79,142,88,58
30,86,133,95,60
31,83,140,94,48
32,81,127,90,52
33,90,136,101,51
34,83,156,94,61
35,83,131,105,52
36,82,138,95,62
37,76,147,90,65
38,85,127,107,61
39,82,133,82,60
40,79,138,86,54
41,84,140,92,58
42,88,144,82,56
43,83,134,103,54
44,86,138,90,58
45,79,147,81,57
46,75,127,95,56
47,79,145,96,63
48,87,147,92,54
49,83,134,76,52
50,81,145,83,59
51,81,145,98,52
52,81,134,101,48
53,79,139,84,51
54,84,133,93,59
55,86,139,104,62
56,82,146,97,57
57,84,139,97,57
58,82,126,106,59
59,83,147,107,59
60,76,136,94,54
61,84,139,93,55
62,77,137,108,66
63,75,141,97,64
64,76,129,103,54
65,77,139,97,59
66,82,137,88,55
67,85,134,96,64
68,70,135,93,59
69,82,121,99,59
70,81,136,87,54
71,77,137,88,64
72,73,144,88,59
73,82,139,90,59
74,87,145,98,53
75,76,123,93,60
76,80,129,100,51
77,80,134,96,62
78,78,143,89,58
79,82,127,93,58
80,78,129,87,58
81,71,131,87,60
82,86,138,86,52
83,78,127,82,58
84,69,145,93,55
85,78,134,85,58
86,78,129,82,53
87,84,141,95,59
88,76,138,87,64
89,72,138,95,52
90,84,129,95,52
91,79,132,88,56
92,79,143,93,56
93,81,134,95,59
94,80,142,89,50
95,73,140,98,62
96,71,137,101,57
97,75,121,103,62
98,75,142,82,64
99,73,128,94,59
100,87,135,96,59
