 ,Mean1,Mean2,Mean3,Mean4
1,40,76,57,38
2,40,72,60,33
3,45,79,62,37
4,43,77,59,36
5,45,78,58,41
6,39,69,55,39
7,43,68,50,42
8,41,72,59,43
9,42,71,56,35
10,43,81,50,34
11,47,68,54,41
12,45,81,53,32
13,45,77,56,37
14,45,81,53,36
15,43,81,56,36
16,47,63,66,36
17,40,79,58,39
18,43,76,56,34
19,48,76,54,39
20,41,77,58,42
21,41,70,59,39
22,45,71,58,41
23,47,78,69,35
24,38,80,54,36
25,42,73,60,35
26,39,70,53,35
27,41,77,58,38
28,46,84,58,34
29,40,77,60,38
30,44,79,57,40
31,45,73,66,48
32,40,72,57,39
33,47,71,57,36
34,45,87,57,39
35,49,78,53,33
36,41,72,57,36
37,40,86,58,40
38,43,75,53,41
39,41,66,65,39
40,39,69,61,36
41,38,73,50,36
42,42,76,56,39
43,39,72,66,40
44,39,69,63,33
45,45,70,60,37
46,50,70,59,37
47,40,77,52,34
48,40,75,58,43
49,41,70,57,41
50,43,73,61,42
51,43,79,57,33
52,39,76,61,40
53,39,70,58,39
54,38,75,60,41
55,39,70,61,40
56,45,75,63,38
57,44,67,62,43
58,43,72,54,40
59,45,79,54,32
60,41,71,56,37
61,44,77,51,33
62,46,73,58,33
63,41,73,53,42
64,43,78,61,33
65,43,69,54,37
66,42,77,57,33
67,43,76,53,37
68,45,80,58,34
69,47,81,63,41
70,44,67,51,39
71,39,69,58,43
72,41,78,57,38
73,41,75,49,36
74,43,71,54,35
75,48,79,51,36
76,43,77,57,33
77,43,77,59,38
78,37,68,60,37
79,39,73,56,36
80,36,76,53,34
81,40,75,58,39
82,39,77,64,40
83,39,77,53,42
84,37,76,55,38
85,39,68,56,39
86,36,82,64,39
87,39,76,55,36
88,43,73,59,39
89,44,76,60,39
90,44,79,55,36
91,40,78,57,38
92,40,76,63,38
93,46,85,58,38
94,42,72,62,39
95,39,71,61,36
96,42,80,52,38
97,40,67,55,37
98,41,68,63,34
99,48,69,63,36
100,45,79,59,42
101,43,78,52,37
102,43,71,58,36
103,39,67,60,38
104,41,78,60,36
105,43,71,50,33
106,45,67,58,34
107,40,79,55,36
108,38,80,54,37
109,37,67,61,37
110,39,69,57,38
111,40,71,51,37
112,39,85,56,40
113,39,76,56,33
114,39,77,56,37
115,45,72,55,39
116,39,80,61,39
117,47,72,56,36
118,43,73,55,35
119,41,75,60,39
120,40,79,60,31
121,42,68,55,39
122,45,72,61,36
123,43,70,62,35
124,43,76,63,39
125,40,67,48,38
126,39,76,64,40
127,45,78,53,35
128,40,73,59,42
129,45,71,58,38
130,43,69,58,33
131,39,69,55,35
132,42,76,53,31
133,46,75,53,36
134,47,85,59,43
135,41,62,55,38
136,36,80,59,36
137,40,79,56,36
138,41,70,53,39
139,43,65,55,41
140,43,76,55,39
141,45,72,50,33
142,42,67,63,36
143,45,81,55,36
144,36,78,57,33
145,39,73,56,38
146,42,81,56,36
147,43,76,62,38
148,42,73,52,37
149,46,79,55,39
150,39,79,53,34
151,44,67,55,35
152,47,75,51,39
153,42,69,50,39
154,41,79,56,36
155,42,76,55,35
156,43,73,58,36
157,43,65,56,36
158,45,84,58,35
159,37,70,57,34
160,43,73,52,41
161,36,70,55,37
162,36,70,61,33
163,39,77,56,36
164,41,77,59,34
165,40,66,56,34
166,38,77,59,39
167,46,71,61,36
168,45,68,49,32
169,38,84,50,38
170,40,71,55,38
171,38,79,64,33
172,39,71,46,33
173,44,73,50,38
174,37,76,59,33
175,36,77,53,37
176,37,68,47,43
177,37,69,59,34
178,43,75,52,40
179,42,66,53,40
180,42,71,54,38
181,39,72,60,35
182,39,76,65,39
183,39,75,52,39
184,39,69,57,33
185,45,76,56,36
186,45,69,50,36
187,43,69,52,36
188,40,66,52,35
189,43,71,59,37
190,43,78,59,36
191,43,71,64,33
192,39,76,50,33
193,38,75,60,40
194,44,67,60,40
195,48,70,54,33
196,34,80,55,37
197,37,66,50,39
198,39,67,56,36
199,41,80,56,39
200,38,67,59,47
