 ,Mean1,Mean2,Mean3,Mean4
1,185,127,139,115
2,194,121,157,121
3,170,109,133,109
4,150,127,127,115
5,162,127,127,104
6,150,115,127,104
7,170,109,157,109
8,173,104,150,127
9,162,115,127,115
10,170,109,133,133
11,185,127,127,127
12,173,104,115,104
13,173,127,139,127
14,197,115,139,127
15,162,92,115,127
16,170,133,133,133
17,185,115,139,104
18,162,127,127,104
19,185,104,127,127
20,162,92,127,115
21,173,127,139,127
22,162,104,162,127
23,162,115,127,127
24,185,115,139,115
25,173,115,127,127
26,182,121,145,109
27,197,92,150,127
28,162,104,150,104
29,127,127,139,115
30,150,115,127,104
31,197,104,127,104
32,173,104,127,115
33,173,104,127,104
34,162,92,150,92
35,185,104,150,104
36,173,115,127,104
37,150,115,127,104
38,162,104,127,104
39,173,92,127,115
40,162,104,115,104
41,173,127,127,104
42,173,92,127,127
43,173,92,139,127
44,162,115,139,104
45,162,104,150,81
46,150,92,139,115
47,162,127,115,104
48,173,104,127,104
49,150,104,150,104
50,173,104,127,104
51,185,115,139,127
52,173,104,150,104
53,173,92,127,104
54,185,92,150,104
55,162,104,127,104
56,173,115,104,127
57,185,104,150,115
58,162,104,127,104
59,197,104,127,127
60,197,104,162,104
61,173,115,150,104
62,173,104,127,104
63,197,104,139,104
64,220,104,150,127
65,162,104,127,127
66,173,127,162,115
67,208,104,150,115
68,150,115,127,115
69,173,104,150,104
70,162,115,150,127
71,197,104,139,127
72,139,104,150,104
73,173,104,150,127
74,173,104,150,115
75,197,115,150,115
76,173,104,150,115
77,173,104,139,104
78,185,104,127,115
79,162,127,127,104
80,185,92,127,115
81,197,104,139,104
82,185,104,127,115
83,173,115,150,115
84,173,104,150,104
85,173,104,139,115
86,197,92,139,104
87,150,115,127,115
88,185,104,139,115
89,173,104,150,92
90,197,104,127,139
91,173,115,139,104
92,173,104,139,127
93,173,104,150,115
94,173,104,150,104
95,185,104,139,115
96,173,92,139,104
97,185,115,162,127
98,173,104,127,104
99,173,92,139,104
100,162,104,150,115
101,162,104,127,115
102,173,92,127,115
103,185,104,139,139
104,173,115,150,127
105,173,92,127,104
106,173,104,150,104
107,162,92,127,127
108,185,104,139,127
109,162,104,150,115
110,173,104,127,127
111,185,104,150,104
112,173,115,150,104
113,197,92,139,127
114,162,81,139,104
115,185,104,127,104
116,185,104,150,115
117,162,92,150,104
118,185,104,139,104
119,173,104,127,115
120,162,104,127,115
121,185,81,139,127
122,197,104,139,104
123,185,92,150,92
124,185,92,139,115
125,185,92,139,115
126,173,104,150,104
127,185,104,139,104
128,162,104,150,127
129,162,81,150,92
130,173,115,139,115
131,185,104,127,127
132,185,92,139,115
133,173,104,127,115
134,173,81,139,115
135,150,104,139,104
136,173,104,150,104
137,173,104,115,104
138,185,104,127,127
139,197,104,127,115
140,220,92,150,115
141,185,92,150,127
142,197,92,139,127
143,173,104,127,127
144,162,127,139,104
145,185,104,127,127
146,197,115,150,139
147,197,104,127,127
148,162,81,127,127
149,185,92,150,115
150,197,104,150,115
151,162,104,127,104
152,144,99,133,110
153,197,92,150,104
154,173,104,139,127
155,162,92,139,104
156,208,104,139,115
157,173,104,127,104
158,173,104,127,115
159,173,92,139,104
160,197,104,150,104
161,208,92,162,104
162,173,104,127,104
163,208,92,150,127
164,194,97,145,121
165,162,104,127,115
166,162,92,127,104
167,185,104,150,104
168,197,104,139,115
169,185,104,150,104
170,185,104,127,127
171,185,92,115,104
172,197,92,139,115
173,185,115,150,115
174,199,99,121,110
175,197,104,127,104
176,208,104,139,104
177,150,104,150,104
178,173,115,139,104
179,208,104,150,104
180,208,69,127,139
181,185,104,139,115
182,173,104,150,115
183,185,104,139,104
184,173,115,139,127
185,197,104,127,115
186,185,104,162,104
187,162,104,139,104
188,185,92,150,104
189,197,104,127,104
190,197,115,127,104
191,162,92,150,115
192,208,104,139,104
193,173,92,150,115
194,185,81,150,104
195,173,81,139,127
196,162,104,150,115
197,208,81,139,92
198,173,104,127,104
199,197,81,139,104
200,162,81,127,127
201,197,104,127,104
202,197,92,139,115
203,185,92,150,115
204,162,104,150,127
205,185,104,139,104
206,185,104,127,127
207,173,92,127,104
208,185,81,127,81
209,173,104,150,115
210,197,115,150,104
211,185,104,139,104
212,173,104,139,115
213,173,104,139,104
214,197,81,150,115
215,185,104,127,104
216,197,92,150,104
217,197,92,150,104
218,185,81,150,115
219,162,92,139,104
220,185,92,150,104
221,162,115,127,104
222,162,104,127,104
223,173,104,127,115
224,162,104,139,104
225,162,104,162,104
226,197,92,139,104
227,185,92,150,150
228,173,92,162,92
229,197,81,139,127
230,173,115,150,115
231,208,92,150,115
232,173,104,139,127
233,185,92,139,104
234,173,92,150,127
235,173,92,162,115
236,162,104,150,115
237,162,92,127,127
238,173,104,127,115
239,185,104,127,104
240,185,81,150,115
241,173,115,162,115
242,173,92,139,115
243,162,92,127,104
244,173,92,115,104
245,197,92,139,127
246,162,92,150,115
247,162,92,150,104
248,173,69,150,115
249,173,104,127,104
250,162,104,162,115
251,185,81,139,115
252,173,104,150,139
253,173,104,139,115
254,150,69,139,115
255,185,81,162,115
256,170,109,157,121
257,162,92,150,92
258,173,104,139,92
259,162,115,139,115
260,162,81,127,104
261,162,104,150,115
262,173,104,162,104
263,185,69,127,115
264,173,92,150,104
265,173,92,162,115
266,208,115,150,104
267,173,104,139,127
268,185,81,139,104
269,173,69,150,104
270,162,104,150,104
271,185,92,127,115
272,162,81,150,104
273,185,104,150,104
274,197,92,150,92
275,197,104,127,104
276,162,81,139,115
277,173,92,150,104
278,162,92,127,115
279,162,92,139,104
280,185,92,139,115
281,185,92,139,115
282,162,104,139,115
283,173,92,139,115
284,157,97,145,121
285,173,92,139,115
286,185,104,150,115
287,162,92,139,127
288,185,81,127,127
289,185,92,139,115
290,197,69,150,115
291,197,104,139,115
292,197,92,127,127
293,197,104,162,127
294,173,92,162,115
295,197,92,150,115
296,173,92,162,127
297,194,97,133,121
298,185,92,139,127
299,208,104,162,104
300,170,85,157,121
