 ,Mean1,Mean2,Mean3,Mean4
1,105,90,155,85
2,110,85,165,90
3,110,85,140,95
4,125,95,165,90
5,100,85,165,95
6,96,96,158,86
7,107,81,153,91
8,96,76,168,91
9,117,91,158,81
10,96,86,168,86
11,122,81,158,86
12,112,86,168,91
13,105,85,155,105
14,100,80,155,95
15,96,81,168,96
16,112,91,142,86
17,107,91,158,86
18,112,86,168,107
19,112,96,158,81
20,96,81,158,86
21,112,86,173,96
22,122,91,158,81
23,91,86,158,102
24,105,80,155,105
25,107,81,173,91
26,107,86,158,96
27,107,86,163,96
28,90,80,165,105
29,105,90,155,110
30,95,75,160,90
31,105,85,145,105
32,102,78,166,78
33,107,73,152,93
34,107,88,147,83
35,101,86,158,86
36,100,75,165,90
37,100,90,155,95
38,96,81,158,91
39,105,80,165,90
40,96,71,158,91
41,95,85,165,85
42,86,96,158,91
43,96,91,163,96
44,102,91,173,76
45,95,75,165,80
46,107,91,168,91
47,102,76,137,76
48,107,96,168,96
49,112,71,158,86
50,117,76,147,91
51,107,86,168,96
52,96,91,158,86
53,117,86,158,91
54,117,86,163,91
55,105,90,155,85
56,100,75,160,95
57,117,81,142,86
58,90,85,150,95
59,100,80,155,90
60,105,80,165,85
61,95,80,160,100
62,105,80,175,85
63,95,85,145,90
64,105,85,140,100
65,105,65,165,95
66,105,85,155,80
67,110,95,165,90
68,88,83,156,83
69,102,88,152,83
70,100,80,165,90
71,88,83,127,83
72,102,88,152,88
73,80,80,155,85
74,95,75,165,75
75,83,88,137,93
76,88,78,161,93
77,107,78,142,83
78,95,80,155,85
79,107,78,156,83
80,93,68,152,93
81,110,70,140,95
82,95,85,140,75
83,110,80,165,95
84,105,80,145,80
85,102,91,163,102
86,100,75,165,85
87,86,76,142,91
88,110,85,155,95
89,107,91,137,81
90,91,91,158,107
91,117,66,147,112
92,107,71,168,96
93,107,86,168,86
94,112,86,168,81
95,102,81,153,91
96,96,81,142,107
97,112,71,153,86
98,102,86,158,86
99,112,76,158,96
100,112,81,158,91
