 ,Mean1,Mean2,Mean3,Mean4
1,125,79,159,95
2,117,79,159,87
3,115,88,154,108
4,123,85,193,100
5,108,88,170,88
6,112,92,154,108
7,119,96,189,85
8,115,85,173,96
9,119,96,170,88
10,104,88,181,85
11,105,98,160,94
12,121,105,168,98
13,112,73,170,88
14,121,90,168,94
15,133,90,172,98
16,125,98,153,109
17,119,92,150,112
18,119,96,166,104
19,119,85,177,96
20,115,88,154,92
21,108,104,154,108
22,127,88,173,85
23,119,96,173,100
24,100,96,166,104
25,112,85,162,104
26,112,104,170,96
27,105,86,164,105
28,115,92,166,96
29,129,90,164,105
30,105,90,168,98
31,115,85,173,108
32,121,90,156,102
33,104,81,173,96
34,109,82,180,94
35,114,87,167,110
36,100,92,150,104
37,121,90,172,98
38,127,85,170,104
39,119,85,193,96
40,108,96,166,104
41,123,85,185,88
42,108,73,150,96
43,115,92,154,104
44,115,88,158,85
45,127,96,146,96
46,113,86,172,109
47,119,92,177,92
48,113,86,153,98
49,112,92,154,96
50,96,92,154,85
51,113,94,160,86
52,108,108,142,88
53,119,96,170,104
54,115,85,185,96
55,108,81,158,92
56,104,85,162,88
57,115,85,158,104
58,91,102,171,87
59,121,83,156,95
60,112,85,162,88
61,110,79,178,106
62,117,79,148,91
63,102,98,163,95
64,106,91,159,102
65,114,87,140,95
66,106,98,144,98
67,117,95,163,87
68,110,87,163,102
69,114,91,159,98
70,114,83,167,87
71,125,102,159,106
72,114,91,175,91
73,102,83,159,87
74,114,79,159,95
75,104,92,166,85
76,114,76,152,83
77,115,77,181,100
78,121,83,163,87
79,106,72,152,91
80,100,88,154,85
81,110,72,186,106
82,110,87,171,98
83,114,87,152,102
84,121,83,163,95
85,91,83,182,91
