 ,Mean1,Mean2,Mean3,Mean4
1,169,94,145,121
2,166,106,157,114
3,178,102,136,124
4,194,106,137,131
5,176,98,150,113
6,189,106,148,117
7,189,91,139,109
8,173,92,147,118
9,182,104,139,115
10,180,85,145,121
11,186,91,142,112
12,182,95,153,139
13,176,98,159,133
14,186,103,142,121
15,183,91,151,115
16,179,98,141,107
17,174,100,148,118
18,189,88,157,124
19,183,97,154,137
20,179,95,150,124
21,174,108,140,120
22,177,109,145,121
23,176,113,153,118
24,180,97,133,124
25,176,98,144,113
26,170,89,133,110
27,179,98,168,124
28,173,101,159,118
29,179,98,168,121
30,197,89,147,127
31,179,92,139,124
32,179,101,141,121
33,194,98,141,115
34,194,89,139,139
35,168,98,136,115
36,173,107,150,124
37,194,97,157,137
38,171,97,137,114
39,182,89,133,107
40,180,103,157,120
41,174,83,143,117
42,191,101,144,115
43,170,95,144,127
44,183,103,133,124
45,191,91,151,117
46,183,100,146,117
47,180,97,151,106
48,166,97,137,108
49,186,91,137,117
50,185,98,150,113
51,183,97,146,126
52,177,106,142,109
53,181,82,147,104
54,171,94,137,128
55,188,104,133,121
56,174,97,151,108
57,169,94,154,111
58,186,100,140,126
59,179,92,159,118
60,184,93,133,113
61,203,97,137,111
62,185,95,127,113
63,171,106,143,117
64,186,106,134,108
65,177,83,143,123
66,160,97,163,115
67,180,108,140,108
68,185,98,130,113
69,182,98,133,113
70,183,94,148,117
71,171,97,134,120
72,180,103,142,112
73,180,108,148,117
74,169,97,137,117
75,180,88,148,108
76,189,103,143,120
77,191,98,147,118
78,189,100,148,120
79,166,106,146,111
80,180,91,137,114
81,170,85,124,113
82,182,88,149,110
83,195,104,138,110
84,189,100,151,106
85,191,97,143,117
86,174,91,149,130
87,183,103,123,106
88,182,92,139,118
89,163,94,140,123
90,189,97,154,108
91,175,93,147,102
92,169,103,143,128
93,197,91,151,114
94,166,103,143,117
95,170,104,147,116
96,185,89,147,113
97,185,92,139,110
98,179,101,141,113
99,197,97,131,106
100,188,104,139,115
101,179,98,144,118
102,191,100,157,117
103,194,98,136,127
104,173,104,159,115
105,174,100,134,117
106,173,89,156,107
107,199,98,141,130
108,171,91,136,109
109,182,98,130,110
110,165,98,136,118
111,177,94,146,120
112,163,88,143,117
113,186,94,140,111
114,183,100,143,117
115,189,88,137,123
116,174,94,140,131
117,166,108,140,114
118,171,88,140,117
119,174,97,140,114
120,168,98,147,113
121,189,94,148,120
122,180,97,140,114
123,186,94,143,131
124,173,89,130,118
125,177,88,143,111
126,171,97,140,117
127,169,100,126,106
128,180,93,141,117
129,186,91,139,109
130,183,97,137,114
131,170,98,153,127
132,189,111,143,108
133,164,104,138,113
134,177,88,137,120
135,171,100,148,106
136,178,99,138,116
137,166,103,123,123
138,180,97,148,120
139,178,96,144,127
140,183,85,142,109
141,191,88,137,123
142,183,103,140,106
143,178,90,158,119
144,187,93,150,121
145,166,94,134,128
146,182,107,159,101
147,177,105,135,120
148,185,104,127,118
149,168,86,159,121
150,182,92,159,115
