 ,Mean1,Mean2,Mean3,Mean4
1,61,38,80,39
2,57,39,88,43
3,57,39,80,50
4,55,47,95,43
5,60,47,71,43
6,52,44,81,39
7,58,41,86,43
8,59,45,90,46
9,52,39,95,49
10,50,39,90,48
11,59,40,91,38
12,51,43,85,44
13,60,38,86,38
14,56,33,101,44
15,60,39,104,42
16,62,39,93,43
17,66,38,91,44
18,56,38,90,40
19,57,37,95,39
20,54,37,95,37
21,53,38,98,43
22,59,35,93,37
23,55,37,87,43
24,62,43,82,43
25,52,39,95,43
26,57,39,92,42
27,59,37,87,40
28,57,37,86,41
29,64,36,77,46
30,45,33,87,40
31,65,41,91,37
32,60,39,85,39
33,52,38,90,40
34,61,39,86,45
35,58,34,87,43
36,57,38,85,44
37,56,39,86,42
38,42,40,76,44
39,45,28,69,52
40,48,31,80,50
41,47,31,68,45
42,43,32,69,46
43,50,27,78,52
44,47,31,80,51
45,49,34,82,50
46,52,31,72,49
47,46,32,70,47
48,48,30,68,56
49,52,30,70,55
50,46,31,70,47
51,45,39,72,46
52,50,32,68,47
53,47,37,73,49
54,46,32,78,53
55,52,32,76,50
56,44,33,77,50
57,45,33,76,52
58,50,33,78,48
59,51,35,79,45
60,45,32,75,49
61,51,34,77,51
62,49,39,80,48
63,50,28,77,54
64,50,36,70,50
65,46,33,75,47
66,48,35,76,52
67,52,33,81,50
68,49,34,73,50
69,44,33,75,53
70,40,32,81,52
71,45,33,72,44
72,43,34,79,44
73,46,31,71,43
74,49,31,82,43
75,50,36,76,48
